message,created_time
that man is a wuss..  ,1/14/2021 9:39
Hello niece's and nephews!,1/14/2021 9:38
,1/14/2021 9:37
CCP doesn't give a crap,1/14/2021 9:36
,
,
"Where is the freedom of speech, oh i forgot its China. 😏",1/14/2021 9:36
,
,
"So, of course now people will start with the whole ""China is responsible for the cov... See More",1/14/2021 10:05
Laurence Zervas Bergström They are. And the Democrats are happy about it. Only way to get rid of you know who.,1/14/2021 10:07
"Victor Davis that doesn't make any sense. If they are responsible, then why don't... See More ",1/14/2021 10:09
"Laurence Zervas Bergström Umm... Yes, China is responsible for this whole thing.",1/14/2021 17:52
I see you brother *nods in Rick*,1/14/2021 18:51
,
,
"""I have always said that I love China, and I love the kind-hearted Chinese people. They are my people. The CCP, however, is not China and certainly should not be equated to the Chinese people,"" he added.",1/14/2021 17:35
,
,
"PRChina has a strategy of using soft power to change the discourse. For example investing in Africa under its ""one belt one road"" policy. (plundering Africa and Australia for minerals for cell phone batteries for its factories)  Inter alia  Giving the vaccine for free/low upfront cost using the state owned enterprise Sinopharm to needy desperate countries (Indonesia Myanmar Malaysia Singapore etc) to bring them into China's orbit in order to exert CONTROL. Nothing but incentives and bribes to these countries to not raise anything about Tibet, Dalai Lama, incursion in the South China Sea, Taiwan, brain washing of Uighurs, violation of one country two systems rule in Hong Kong etc. This is modern day imperialism and must be stopped! PRChina is f**king dangerous! You have been warned!",1/14/2021 15:57
All the while Five Eyes bomb the Middle east under the pretext of liberation and kill millions of innocent lives.. Shut your crap,1/15/2021 8:40
,
,
"All I can say is that I hate Falun Gong, and it's spread of lies about US politics through their BS Epoch Times platform...I think Nigel made the right choice to distance himself.",1/14/2021 20:16
,
,
Didn't knew about the political affiliation of strictly dumpling but he is a good food vlogger. It would be a step backwards to restrict people's talent and expertise just because you don't like their political or religious views.,1/14/2021 10:00
"Saroj Bhattarai He has called out the Chinese government over human rights violations, and also has worked with families of people who are victims of Organ harvesting by the Chinese government.",1/14/2021 11:54
,
,
Speech is only Free if you're not in China.,1/14/2021 19:14
"not anymore, Democrats in the US have deemed you have no right to freedom of speech because if you disagree with them it is hate speech and you must be canceled.  Democrats like Feinstein, Boxer and Swalwell have been proven to work for the Chinese government.",1/14/2021 21:10
Clinton Longwell free speech and calling for violence is not the same  !!,1/14/2021 22:19
"Bunny Tan oh really, so why are people being censored solely for their beliefs that do not align with liberal democrats?  Parler shut down solely because the majority of users were conservatives, liberal trolls used it to make nasty and violent comments and they were blocked.  Why are people being canceled solely because they worked for President Trump?  You don't know what you are talking about and liberals will be censored by the communists here like in China.",1/14/2021 22:25
,
,
"The guy just makes funny videos, who cares about his political preferences",1/14/2021 10:19
Raymond I kinda agree. Some issues are so sensitive but I do not want to curb comedy. ,1/14/2021 10:22
"Raymond Wong Someone apologizing for incorrect information regarding 六四 and Uighur genocide, pfff yeah, political preferences matter.",1/14/2021 10:45
"well he made a statement that apparently the other youtuber's (Mikey Chen) views are ""incorrect"" just to please his Chinese fans.  He should have just been neutral and not misinform the public about Mikey Chen's views.",1/14/2021 12:22
"Raymond Wong apparently china does, infuriating at him just for chilling with some how guy who had a political comment about china previously",1/14/2021 13:37
Treenah Joy and what’s wrong with that? He has the right to have his own opinion and it’s not for you to decide what his opinions should be,1/14/2021 13:40
Winnie Pooh doesn't think the same,1/14/2021 15:09
,
,
"This is honestly purely because he wants to make it big in China, trust me, CCP haven’t threatened him. ",1/14/2021 22:06
,
,
So where is freedom of speech?,1/14/2021 9:45
"Robert Huang he decided to exercise personal accountability instead. Like responsible, normal people who understand speech can have consequences do. ",1/14/2021 9:47
Al Wells what would've been the consequences in this case?,1/14/2021 10:00
Daniel P Sousa not sure. But evidently Uncle Rog felt there may be some. He did the right thing. ,1/14/2021 10:11
"Robert Huang Yeah, where is the freedom of speech in China?",1/14/2021 10:45
"Robert Huang of course he has freedom of speech, yet the viewers also have the freedom not to watch his video no more ",1/14/2021 11:08
Robert Huang no such thing as freedom of speech in China ,1/14/2021 17:03
Al Wells accountability for what? Criticising the Chinese regime which is the most deplorable government in the world? ,1/14/2021 17:04
Alex Heron seems like the CCP has gotten to him. He’s not even a Chinese national. He’s Malaysian. ,1/14/2021 18:47
"He just bowed to the money, that's what he chose",1/14/2021 18:52
,
,
How is this news? The UK govt has been cowering in its response to abuse of Uighurs in China.,1/14/2021 14:03
,
,
"How the world continues to do business with a regime the likes of China that doesn't play fair and censors both foreign and domestic entities at will, is beyond me...",1/14/2021 12:20
,
,
"Never like this guy, he's been always leeching on other people's creativities",1/14/2021 12:12
,
,
"In Japan, millions of people are criticizing our government about its method on COVID.",1/14/2021 9:52
,
,
China is going to take over the world.,1/14/2021 9:40
"Zkingz Boom, the Chinese virus has already taken over the world. That’s what you mean ",1/14/2021 9:44
"Zkingz Boom No, they're not.",1/14/2021 10:08
Zkingz Boom Yes!!!! With their CCP virus!,1/14/2021 13:48
,
,
"Seriously, if he wants to disappear forever then, good on him for deleting it. It's not pandering if it means you don't get murdered or sent to a work camp or prison 🤔🤷‍♀️",1/14/2021 17:00
,
,
"Nobody on this planet has rights or permission to talk about (against) the communist party of China 🇨🇳 cause rest of the world is slaves to China 🇨🇳 so slaves never had rights to express their ideas,views or anything which goes against their willful. So stay silent if you don’t want to be executed by the People’s Republic of China 🇨🇳.!!!",1/14/2021 17:46
,
,
Uncle ROger should grow a pair and a spine.  I've unsubscribed  from his Youtube channel soon as I heard and I am now going to subscribe to  Mike Chen's channel instead. That dude rocks!,1/14/2021 17:34
,
,
"Uncle Roger scared of Auntie ""Re-education camp""",1/14/2021 19:47
,
,
"First of all, he made ONE funny video.... ONE... and he is a Malaysian who based in the UK .... even then he has to Kowtow to the RMB ??! weak af just like his msg... ",1/14/2021 11:31
,
,
"Why not. He's a comedian but a political activist,. He didn't realize the guy said those things and doesn't want to get involved.",1/15/2021 5:48
,
,
Mike Chen posted a statement on Instagram regarding this incident. I hope Uncle Roger can speak more freely and criticize more about CCP.,1/14/2021 11:14
,
,
"Doesn't matter what you choose, somebody will always be there to complain and tell you that you are wrong.",1/14/2021 10:56
,
,
"Personal safety is paramount, especially when you don’t know what it means; imprisonments, disappear and many things, not to mention families, friends and associates! ",1/14/2021 20:43
,
,
"Do you really think that Chinese nationals employed here in senior positions, both private and governmental are not CCP members?",1/14/2021 14:31
,
,
,
,
I have a friend in Malaysia with a budding career that may be influenced by the CCP. I understand the exigency of any pro-Xi/CCP remarks they make. I will excuse Nigel Ng for this as well.,1/14/2021 10:33
"What people forget is that there are actually agents of the cpc/communist party whose role is to follow Asian celebrities and troll/express anger at any ""anti-chinese""/anti-party content. They make it seem that the ""Chinese fans"" are mad.  (yes there are a portion of Chinese fans that may be die hard supporters of the Party and actually get mad at political speak, I've met them, but there are a lot of state sponsored troll agents online).",1/14/2021 10:45
He's pandering to China and I've no interest in following him again. ,1/14/2021 10:44
How would Chinese fans even watch the video unless they are using a VPN? Which would leave them vulnerable to being arrested. And not to mention using a vpn is an act of rebellion against the CCP regime anyway. If he means Chinese fans in Hong Kong and Taiwan then they are hardly going to be angry about criticising the extreme brutality of the Chinese government ,1/14/2021 17:05
"Yeah in the US they just don't allow anyone critical into the media at all, much more effective",1/14/2021 9:47
"Personal safety is paramount, especially when you don’t know what it means; imprisonments, disappear and many things, not to mention families, friends and associates! ",1/14/2021 20:43
Pls ask China to compensate the world for causing the pandemic. That is more important.,1/14/2021 9:39
That’s because uncle roger is smart and doesn’t like hard labour.. anyone bringing him down feel free to fly out there and make yourself heard 🤔,1/14/2021 9:55
Probably just afraid of what they might do to him or his family; shouldn’t we all be?,1/14/2021 11:27
Self-censorship is the most insidious form of censorship.,1/14/2021 10:22
"All I can say is that I hate Falun Gong, and it's spread of lies about US politics through their BS Epoch Times platform...I think Nigel made the right choice to distance himself.",1/14/2021 20:16
"HKFP_Buzz: YouTuber Mike Chen has urged fellow comic Nigel Ng to do ""his own research"" on the Communist Party after the comedian behind the ""Uncle Roger"" persona apologised to Chinese fans and deleted a video collaboration over Chen's critical stance on Beijing.   ""I do hope that Nigel does his own research on the CCP, and sees for himself if my remarks on China are really 'incorrect.' Living in the UK grants him that basic freedom, something not afforded to the millions under CCP rule,"" Chen told HKFP.",1/14/2021 10:17
Now he hates not only bbc invited egg-fried-rice chef but also bbc news lol,1/14/2021 9:48
"Don’t bow to the Wu Mau...see what I did there? 😉  Seriously, you never have to apologize for criticizing a thug regime who has concentration camps for ethnic minorities, forced organ harvesting, and has annexed every one of its neighbors’ territories, except Russia, but I hear they have their eyes on Vladivostok. ",1/14/2021 10:23
So where is freedom of speech?,1/14/2021 9:45
The Chinese government deserves to be criticized,1/14/2021 9:40
"Maybe Uncle Roger can review the fried rice being served in the Uyghur “re-education camps”, see if they’re using real chili paste  ",1/14/2021 12:48
"PRChina has a strategy of using soft power to change the discourse. For example investing in Africa under its ""one belt one road"" policy. (plundering Africa and Australia for minerals for cell phone batteries for its factories)  Inter alia  Giving the vaccine for free/low upfront cost using the state owned enterprise Sinopharm to needy desperate countries (Indonesia Myanmar Malaysia Singapore etc) to bring them into China's orbit in order to exert CONTROL. Nothing but incentives and bribes to these countries to not raise anything about Tibet, Dalai Lama, incursion in the South China Sea, Taiwan, brain washing of Uighurs, violation of one country two systems rule in Hong Kong etc. This is modern day imperialism and must be stopped! PRChina is f**king dangerous! You have been warned!",1/14/2021 15:57
"The guy just makes funny videos, who cares about his political preferences",1/14/2021 10:19
You mean the Chinese communist dictatorship that puts Uygers in re-education / death camps ?  You mean the same China BBC ignored the Hong Kong riots on?,1/14/2021 9:42
Speech is only Free if you're not in China.,1/14/2021 19:14
How is this news? The UK govt has been cowering in its response to abuse of Uighurs in China.,1/14/2021 14:03
If you are disgusted by uncle roger like me then don't watch his videos at all. Ironic he is a comedian who tries to make people laugh when he dismisses something like a concentration camp.,1/14/2021 9:53
He knows the CCP  has a long reach,1/14/2021 9:41
"Nobody on this planet has rights or permission to talk about (against) the communist party of China 🇨🇳 cause rest of the world is slaves to China 🇨🇳 so slaves never had rights to express their ideas,views or anything which goes against their willful. So stay silent if you don’t want to be executed by the People’s Republic of China 🇨🇳.!!!",1/14/2021 17:46
,
,
"Where is the freedom of speech, oh i forgot its China. 😏",1/14/2021 9:36
"So, of course now people will start with the whole ""China is responsible for the cov... See More",1/14/2021 10:05
"""I have always said that I love China, and I love the kind-hearted Chinese people. They are my people. The CCP, however, is not China and certainly should not be equated to the Chinese people,"" he added.",1/14/2021 17:35
"PRChina has a strategy of using soft power to change the discourse. For example investing in Africa under its ""one belt one road"" policy. (plundering Africa and Australia for minerals for cell phone batteries for its factories)  Inter alia  Giving the vaccine for free/low upfront cost using the state owned enterprise Sinopharm to needy desperate countries (Indonesia Myanmar Malaysia Singapore etc) to bring them into China's orbit in order to exert CONTROL. Nothing but incentives and bribes to these countries to not raise anything about Tibet, Dalai Lama, incursion in the South China Sea, Taiwan, brain washing of Uighurs, violation of one country two systems rule in Hong Kong etc. This is modern day imperialism and must be stopped! PRChina is f**king dangerous! You have been warned!",1/14/2021 15:57
"All I can say is that I hate Falun Gong, and it's spread of lies about US politics through their BS Epoch Times platform...I think Nigel made the right choice to distance himself.",1/14/2021 20:16
Didn't knew about the political affiliation of strictly dumpling but he is a good food vlogger. It would be a step backwards to restrict people's talent and expertise just because you don't like their political or religious views.,1/14/2021 10:00
Speech is only Free if you're not in China.,1/14/2021 19:14
"The guy just makes funny videos, who cares about his political preferences",1/14/2021 10:19
"This is honestly purely because he wants to make it big in China, trust me, CCP haven’t threatened him. ",1/14/2021 22:06
So where is freedom of speech?,1/14/2021 9:45
How is this news? The UK govt has been cowering in its response to abuse of Uighurs in China.,1/14/2021 14:03
"How the world continues to do business with a regime the likes of China that doesn't play fair and censors both foreign and domestic entities at will, is beyond me...",1/14/2021 12:20
"Never like this guy, he's been always leeching on other people's creativities",1/14/2021 12:12
"In Japan, millions of people are criticizing our government about its method on COVID.",1/14/2021 9:52
China is going to take over the world.,1/14/2021 9:40
"Seriously, if he wants to disappear forever then, good on him for deleting it. It's not pandering if it means you don't get murdered or sent to a work camp or prison 🤔🤷‍♀️",1/14/2021 17:00
"Nobody on this planet has rights or permission to talk about (against) the communist party of China 🇨🇳 cause rest of the world is slaves to China 🇨🇳 so slaves never had rights to express their ideas,views or anything which goes against their willful. So stay silent if you don’t want to be executed by the People’s Republic of China 🇨🇳.!!!",1/14/2021 17:46
Uncle ROger should grow a pair and a spine.  I've unsubscribed  from his Youtube channel soon as I heard and I am now going to subscribe to  Mike Chen's channel instead. That dude rocks!,1/14/2021 17:34
"Uncle Roger scared of Auntie ""Re-education camp""",1/14/2021 19:47
"First of all, he made ONE funny video.... ONE... and he is a Malaysian who based in the UK .... even then he has to Kowtow to the RMB ??! weak af just like his msg... ",1/14/2021 11:31
"Why not. He's a comedian but a political activist,. He didn't realize the guy said those things and doesn't want to get involved.",1/15/2021 5:48
Mike Chen posted a statement on Instagram regarding this incident. I hope Uncle Roger can speak more freely and criticize more about CCP.,1/14/2021 11:14
"Doesn't matter what you choose, somebody will always be there to complain and tell you that you are wrong.",1/14/2021 10:56
"Personal safety is paramount, especially when you don’t know what it means; imprisonments, disappear and many things, not to mention families, friends and associates! ",1/14/2021 20:43
"Do you really think that Chinese nationals employed here in senior positions, both private and governmental are not CCP members?",1/14/2021 14:31
,
,
"well we can't upset our overlords at Google and Communist Chinese government, censorship is here, because China gets upset.",1/14/2021 21:07
That censorship is heading this way...,1/15/2021 1:22
"It's about time the CCP watch up with morden living, have a little sense of humour...?!",1/14/2021 9:57
"Has china apologize for  creating a pandemic ,can their apology   bring back those who died from covid",1/14/2021 13:12
Why he need to apologise to China? Seriously.. How many followers from China? Just let go China followers.. Nevermind..,1/14/2021 16:32
I stopped watching uncle Roger when he said that he cannot be shipped with auntie Hersha. 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎,1/14/2021 9:40
Well this is the same drama and reminds me of Logan Paul's Japan controversy before logan delete his video suicide forest. Anyone remember Logan paul did stupid jokes in Japan and Suicide forest?,1/14/2021 20:34
I'm confused. If he criticized china...how is he pandering to them?,1/14/2021 10:39
"Just sprinkle some MSG on it uncle! More flavor, more forgiveness. ",1/14/2021 22:01
In this case Uncle Roger is totally.... See more,1/14/2021 14:21
"Why would anyone apologize for featuring someone who has criticized anyone if you weren’t pandering to those that were criticized?   Oh I forgot, the BBC only injects it’s own opinion as fact when it’s slagging off Donald trump.  Some might consider this rare impartiality as the BBC pandering to China 😂",1/14/2021 22:53
he doesnt want to lose his fan base in china of course his earnings from it.,1/14/2021 13:11
Self censorship while living in a free country!!!  It’s tough. I like his videos!,1/14/2021 9:40
They're just jealous of his fried rice cooking skills. 😀,1/14/2021 10:19
"""Pandering""... I like what they did there. 🐼",1/14/2021 11:19
Haiya~ Unsubscribe and unfollow Uncle Roger-ed ,1/14/2021 22:10
When RMB is better than MSG,1/14/2021 15:26
Uncle roger : RMB is the advanced version of MSG. RMB is the king of flavor   Hiyaaaa that's why auntie Helen left you,1/14/2021 12:08
"Whats wrong? They were just talking about ugly dumplings correct? Host invited a wrong guest , thats all. If he invited auntie hersha or anybody else, Im pretty sure it wouldn’t go wrong. ",1/14/2021 10:36
Any news on the missing billionaire?,1/14/2021 9:45
Can't he just eat a Brexit carrot and shut up...,1/14/2021 14:37
Sad how everyone panders to the CCP while they commit genocide of their own minority groups. ,1/14/2021 18:28
"lmao, he's been teasing Chinese like their accent, their weird behaviours, portraying them like a farmer goes into a big city, and he wants a Chinese market?",1/14/2021 11:54
BBC’s revenge on uncle roger,1/14/2021 12:55
那個Uncle Roger酸過BBC怎麼做蛋炒飯，BBC的記者能教教Uncle Roger怎麼站起來做中立的媒體人嗎,1/14/2021 10:03
,
,
RMB is the new MSG I guess?,1/14/2021 21:17
Never trust a party that you could  blindfold any member with your bootlace,1/14/2021 10:11
Ayyyaaaaaaaaaaa! Uncle Roger lost my respect. Shame,1/14/2021 9:57
RMB better than MSG to him,1/14/2021 9:37
"Why sooo weak, sooooo weakkk?",1/14/2021 14:06
"Comedians stand no chance, if fate of billionaires change in a moment.",1/14/2021 19:53
If he knows what's good for him. The right move.,1/14/2021 12:13
"Also, for Chinese citizens, and the diaspora, it's very, very difficult to stand up or speak out... if you or your family have anything in the prc... the party can take it, create charges against you, destroy your or your families reputations, make trouble for you or your family.... Uncle Roger could have family in the prc, he could never be able to tour there, the power of the party over even Chinese in the diaspora is huge. I teach in Vancouver, I had a mother afraid to have her daughter watch a talk by the Dalai Lhama when he visited (it was streamed)...",1/14/2021 10:55
Such a disappointment. Oh well.,1/14/2021 14:09
So telling the truth gets you smacked ? hmmmm,1/14/2021 23:46
Reminds me of the big tech following the footstep of china.. if cebsorship works for china then it could work for the big tech..,1/14/2021 12:24
His new character: Beijing Bob,1/14/2021 12:44
No surprise if he betray malaysia someday ...,1/14/2021 12:06
"Shame on you, Nigel, choosing money over human lives. ",1/15/2021 9:02
I'm with Mike Chen on this one. Go Mike!,1/14/2021 22:57
His whole gimmick is pandoring,1/14/2021 9:48
What pandering China. He just making a living and Mike Chen is riding on his profile for his own agenda.,1/14/2021 9:42
Probably has valued relatives somwhere,1/14/2021 10:25
Cancel Uncle Roger!,1/14/2021 17:55
"The power of CNY, disgusting self-censorship.",1/14/2021 11:57
"Come on, when President Trump's accounts were deleted, what can't happen?",1/14/2021 9:58
He sounds stupid with his impersonations.,1/14/2021 9:43
I have a few words for you: Xi Jinping does look like Winnie the Pooh,1/14/2021 11:11
Uncle Roger trying not to disappear. I don't blame him.,1/14/2021 9:59
Same coming here in America. Liberal thinking allowed only.,1/14/2021 10:40
,
,
Its all about the money.,1/14/2021 14:03
Interesting... a Malaysian censoring a Chinese born American about what going on in China.,1/14/2021 13:20
"😂😂😂,  you should be named uncle Sam 🇺🇸 and not uncle Roger",1/14/2021 10:30
Ya'll went after Uncle Roger!? Haiyaaaaa.......,1/14/2021 12:12
No just self preservation ,1/14/2021 10:02
He is not Chinese. He is a Malaysian. ,1/14/2021 10:10
Better start standing up to that powerful and oppressive government now!,1/14/2021 13:54
China is a lot like the Hilary. Suicide.,1/14/2021 11:52
Chinese dollar smell so good,1/14/2021 17:24
"China is boss, they seem to own the world right now",1/14/2021 15:52
So weak! Haiyaaaa! Now he loves RMB more than MSG. ,1/14/2021 14:45
Glad I got to see the video before he pulled it.,1/14/2021 10:50
"we don't watch Weibo, CCP should MYOB",1/14/2021 9:57
“You need more RMB in your fried rice haiyahhh!”,1/14/2021 10:01
The manipulation is everywhere,1/14/2021 13:57
"Ask what Mr Chen thinks of Trump, race mixing and homosexuality.",1/14/2021 9:48
He disappoints niece and nephew around the world haiiyaaaaaa,1/15/2021 9:24
I hope MAGA apologises to America for the shame of Jan 6.,1/14/2021 10:03
Apparently Tiananmen is fake news now. Incredible.,1/14/2021 9:59
I like Mike Chen 🤟,1/14/2021 17:25
His fan from China was really really angry in weibo So...,1/14/2021 9:40
maybe he values his life ?,1/15/2021 3:08
Kowtowing to butt-hurt people is just plain wrong.,1/14/2021 13:33
MSG couldn’t make this better!,1/14/2021 13:08
He needs to think about all niece and nephew.,1/14/2021 11:27
,
,
O my god! What ? What he doing ? Licking ? Haiyaa !,1/15/2021 0:42
"People just can't get enough of China...there are another 193 countries in the world to attend to, not just China China China.",1/14/2021 10:56
Why so weak uncle Roger? 👀,1/14/2021 15:26
Comedian who now?,1/14/2021 17:23
Donald Trump is getting Impeached and this is the only dirt you can bring up for China ,1/14/2021 9:45
Typical Malaysian Chinese,1/14/2021 20:10
I need someone would cry about uncle Roger,1/14/2021 9:59
Who tf is uncle rgorer??,1/14/2021 18:23
"Cowards are everywhere. And once you've shown yourself to be a puppet, you deserve no respect.",1/14/2021 12:10
They need one person.one vote free and fair chum. ,1/14/2021 9:39
"TYRANNICAL, TOTALITARIAN GOVERNMENT ANYONE?",1/14/2021 13:44
"China can shut you up? I understand why a lot of people liked Trump. His way was very childish, wasn’t leading anything any better but people wanted to see someone standing up against China saying they were at fault and he gave it to the crowd.",1/14/2021 20:02
China is the future. Get used to it.,1/14/2021 14:55
I guess for him RMB has more flavor than MSG now. Unfollow immediately.,1/14/2021 13:15
No wonder auntie helen left him... haiyaa... backbone so weak...,1/14/2021 13:01
Free Hong Kong! Free Tibet! :O,1/14/2021 13:55
Reservation hatao desh bachao,1/14/2021 9:37
Ciela boca o tlaga plomo dicen en China💩,1/14/2021 9:47
Jackie Chan 2.0. Done ✅ ,1/14/2021 10:47
Uncle who ?,1/14/2021 9:58
"The Chinese virus was manufacted in a lab in Wuhan, China. China has to be punished. The communist party of China is a terrorist organization",1/14/2021 9:41
China Virus   https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(18)31695-7/fulltext?fbclid=IwAR0x9Jndxkl2k_Vc7zL3BW-BitWK4jVVXWYM6-_qecd75e7U082xPsxniSo,1/14/2021 9:46
Absolutely weak. I would rather starve to death than apologize for any of my comments regarding the Chinese Communist Party. ,1/14/2021 9:36
BBC campaigns against China over and over again...,1/14/2021 9:36
"The one reason Trump did to his credit was standing up to China 🇨🇳 but even then he never questioned them over their human rights abuses of the Uighurs. It is shameful that we put money ahead of humanity , capitalism is the greatest threat to life and liberty",1/14/2021 9:54
,
,
Of course chinese government is offended about everything but they clearly don't know that the rest of the world hate their guts right now,1/14/2021 9:45
I wonder if anyone’s ‘politically neutral’ when it comes to Jews concentration camps and holocaust.🙃,1/14/2021 11:11
"bit like the UK and European governments who never blame China for anything , wise up.",1/15/2021 1:00
Should read. 'Chinese influencener' get to much attention and gets told but the Chinese government that they gotta pay more taxes.,1/14/2021 13:03
"Its not because of government pressure, its because of public pressure he had to delete the video",1/14/2021 18:42
the chinese government are nothing but stand over merchants ,1/14/2021 10:34
"But the dumplings still ugly though, true fact ",1/14/2021 10:15
Uncle Roger. Why so weak? You just concern you might lose Chinese subscribers?,1/14/2021 10:04
"Think about this; Nigel is a person who has chosen to distance himself from someone who has condemned a genocide, and has apologised directly to those committing the atrocities. A complete and utter coward.",1/14/2021 10:30
Seems he loved RMB more than MSG,1/14/2021 9:40
Haiyaa! Rmb is the king of flavour. What you think! What you think?,1/15/2021 2:46
What a little toady he is. Hope his career crashes and burns.,1/14/2021 17:25
Biden can pander to China way better.,1/14/2021 9:39
"Help spread the word, the world said never again. Let’s prove it.   https://www.facebook.com/groups/672257056986858/?ref=share",1/14/2021 10:34
"Because they'll make him disappear , it's called communism",1/14/2021 10:27
This guy is a jerk!,1/14/2021 9:42
It was actually better for him to disassociate himself from someone who is a member of Falun Gong. Falun Gong is very toxic. No one who is a member of Falun Gong has enough credibility to criticize the CPC for human rights violations. Falun Gong is homophobic and also believes that multi-racial couples should not be together. They also support Trump. Screw them.  ,1/14/2021 10:27
"To be successful in life, you have to take risks and make the right decision. I’m glad I invested with you. Ma'am Angelica and your team of work. Angelica Magalhaes Adriene ",1/14/2021 9:57
I'm sure Biden and the Chinese emperor will be great bum buddies,1/14/2021 9:45
Dont fu... with Chinaman.,1/14/2021 12:12
Still british virus,1/14/2021 17:00
"#FuckChina #XiJinpingPoohBear #TibetIsNotChina #TaiwanIsNotChina #LiberateHongKong Did you hear that Xi Jinping and Kim Jung-Un are gay lovers? Not to shame or anything, I actually think they're an adorable couple.",1/14/2021 9:39
China is going to take over the world.,1/15/2021 4:20
I'm still a fan #uncleroger ,1/15/2021 11:58
Ed Goode,1/15/2021 7:11
,
,
Brendon,1/15/2021 6:02
Eryk Dogoda China threatening uncle roger ,1/15/2021 2:55
Spineless coward,1/15/2021 2:03
Unsubscribe this mofo,1/14/2021 23:50
Alex Matthews,1/14/2021 23:49
Haiyaa 😆 ,1/14/2021 23:19
Kasidit Benz Polpadung ลุงเกมหรอ,1/14/2021 23:01
Translation: the Nazi-like Chinese government threatened to send him to their concentration camps where they are torturing and slaughtering Uighur Muslims.,1/14/2021 22:23
Janice Lai ,1/14/2021 22:20
"It's that time of the year where earning a little extra might not seem like a bad idea , bitcoin is on the increase and with this comes alot of opportunities of generating income from trading. If you wish to find out more information on how this works feel free to consult  Mr Alan Blaine wolf. https://www.facebook.com/Alan.Blaine.wolf",1/14/2021 22:13
Joe O'Brien uncle woger ,1/14/2021 21:59
Matthew Cummins,1/14/2021 21:03
Scott Schwartz,1/14/2021 20:03
Aliya go mikey!,1/14/2021 18:35
Lee Bullivant,1/14/2021 18:29
Coward.,1/14/2021 18:27
,1/14/2021 18:25
Benji Avlonitis-Perrin man made the bbc front pages wtf ,1/14/2021 18:17
And.. he became a joke ,1/14/2021 18:05
https://youtu.be/By2Hi2nEUlw,1/14/2021 17:40
https://youtu.be/By2Hi2nEUlw,1/14/2021 17:39
How pathetic. :D :D ,1/14/2021 17:14
"So weak, should rename as Uncle coward.   Smack that YouTube unsubscribe button like you smack Uncle coward   Nigel simply sold out his conscience to the Chinese viewers for potential future Chinese sponsorship.   Effectively ignoring the genocide of Uighurs, persecution of Falun Gong and cries for freedom in Hong Kong.",1/14/2021 17:05
Disappointing... 🙄,1/14/2021 16:19
RMB>>>>>>>>>>>MSG,1/14/2021 15:58
,
,
Career ending move ,1/14/2021 15:37
Coward ,1/14/2021 15:36
,1/14/2021 15:30
Weak!,1/14/2021 15:00
https://youtu.be/FqlnTDtFQ-M,1/14/2021 14:09
RMB,1/14/2021 14:03
Wow,1/14/2021 13:25
Jim DelPlato ,1/14/2021 13:24
Uncle RMB,1/14/2021 13:17
Ur grand pa is.....,1/14/2021 13:09
"Ooooh, disappointing. ",1/14/2021 12:55
Taqwa Gilani,1/14/2021 12:31
Uncle RMB.,1/14/2021 12:30
Censored by,1/14/2021 12:19
#SoWeak,1/14/2021 11:50
He knows the truth; BBC=Fake News,1/14/2021 11:49
Weak as F 😂,1/14/2021 11:41
"Xi Jinping: Communist, disease spreading scum.",1/14/2021 11:30
Freedom of speech,1/14/2021 11:25
Sad.,1/14/2021 10:50
Uncle Hypocrite,1/14/2021 10:49
Haiyaaaa,1/14/2021 11:07
Fuiyoooo...,1/14/2021 10:46
,1/14/2021 11:05
"Emergency warning 🚨(Jesus is coming soon)   (Isaiah 40:9)- shout from the mountaintops! Shout it louder! Shout and do NOT be afraid. Tell the towns, your God is coming!”   (Ezekiel 21:8)- “give the people this message from the Lord.”   (Joel 2:2)- “blow the trumpet, sound an alarm.”   (Joel 2:1)- “the day of the Lord is upon us. Let everyone tremble in fear.”   (Habakkuk 2:3)- “If it seems slow in coming, wait patently, for it will surely take place. It will not be delayed.”   (Ezekiel 21:6)- “when it comes true, the boldest heart will melt with fear; all strength will disappear. Every spirit will faint, and Strong knees will become as weak as water.”  (Ezekiel 21:30)- “ I will judge each of you. According to your actions, says the sovereign Lord.”  (Ezekiel 20:45)- “And I will set you on fire”   (Joel 2:12)- That is why the Lord says, “turn to me now while there is time.” Return to The Lord your God, for he is merciful and compassionate, slow to get angry and filled with unfailing love.”   Version 8.9X2b",1/14/2021 10:46
,
,
,1/14/2021 10:58
Too weak.  Haiyaa ,1/14/2021 10:55
Yao Tang,1/14/2021 10:56
Taufiq Hani lol,1/14/2021 10:33
,1/14/2021 10:29
Haiya... So weak,1/14/2021 10:20
Bye bye uncle roger.  RIP. ,1/14/2021 10:18
Joanne Le ,1/14/2021 10:17
,1/14/2021 10:13
Haiyaaa....  🥴,1/14/2021 10:10
Annoying CCP,1/14/2021 10:06
,1/14/2021 10:06
coward,1/14/2021 10:05
I love Mike Chen. Even more now.,1/14/2021 10:04
,1/14/2021 10:01
So brave....,1/14/2021 10:01
****!!!!!😈😈😈😈G@b.com.   @=a   The only free  platform...Donald Trump there...,1/14/2021 10:01
Shane,1/14/2021 10:00
https://youtu.be/8fwgVUfW_O4,1/14/2021 9:58
Sara Wright,1/14/2021 9:58
